id,title,description,availability,condition,price,link,image_link,brand
azimut-53,Azimut 53′ Yacht Charter – Miami,"Private yacht charter aboard the Azimut 53′ in Miami. Up to 13 guests, docked at Regal Marina. Features: Premium Sound. Starting price $2,500. Contact us on the website to book your date.",in stock,new,2500.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/azimut-53%E2%80%B2/1.jpg,Heart of the Sea
searay-serenity-58,SeaRay Serenity 58′ Yacht Charter – Miami,"Private yacht charter aboard the SeaRay Serenity 58′ in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Premium Sound. Starting price $2,500. Contact us on the website to book your date.",in stock,new,2500.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/searayserenity-58%E2%80%B2/1.jpg,Heart of the Sea
beneteau-flybridge-52,Beneteau Flybridge 52′ Yacht Charter – Miami,"Private yacht charter aboard the Beneteau Flybridge 52′ in Miami. Up to 13 guests, docked at Venetian Marina. Features: Premium Sound. Starting price $2,300. Contact us on the website to book your date.",in stock,new,2300.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/yate17.jpg,Heart of the Sea
fairline-52,Fairline 52′ Yacht Charter – Miami,"Private yacht charter aboard the Fairline 52′ in Miami. Up to 13 guests, docked at Venetian Marina. Features: Premium Sound. Starting price $2,300. Contact us on the website to book your date.",in stock,new,2300.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/fairline-52%E2%80%B2/1.jpg,Heart of the Sea
pershing-50,Pershing 50′ Yacht Charter – Miami,"Private yacht charter aboard the Pershing 50′ in Miami. Up to 13 guests, docked at Venetian Marina. Features: Premium Sound. Starting price $2,300. Contact us on the website to book your date.",in stock,new,2300.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/pershing-50%E2%80%B2/1.jpg,Heart of the Sea
searay-48,SeaRay 48′ Yacht Charter – Miami,"Private yacht charter aboard the SeaRay 48′ in Miami. Up to 13 guests, docked at Venetian Marina. Features: Premium Sound. Starting price $2,300. Contact us on the website to book your date.",in stock,new,2300.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/searay-48%E2%80%B2/1.jpg,Heart of the Sea
cruiser-sport-55,Cruiser Sport 55′ Yacht Charter – Miami,"Private yacht charter aboard the Cruiser Sport 55′ in Miami. Up to 13 guests, docked at Venetian Marina. Features: Premium Sound. Starting price $2,200. Contact us on the website to book your date.",in stock,new,2200.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/cruisersport-55%E2%80%B2/1.jpg,Heart of the Sea
viking-princess-55-takeella,Viking Princess 55′ Takeella Yacht Charter – Miami,"Private yacht charter aboard the Viking Princess 55′ Takeella in Miami. Up to 13 guests, docked at Regal Marina. Features: Premium Sound. Starting price $1,800. Contact us on the website to book your date.",in stock,new,1800.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/vikingprincess-55%E2%80%B2/1.jpg,Heart of the Sea
cruiser-sport-fly-50-remedy,Cruiser Sport Fly 50′ Remedy Yacht Charter – Miami,"Private yacht charter aboard the Cruiser Sport Fly 50′ Remedy in Miami. Up to 13 guests, docked at Miami Beach Marina. Features: Premium Sound. Starting price $1,700. Contact us on the website to book your date.",in stock,new,1700.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/cruisersportflyremedy-50%E2%80%B2/1.jpg,Heart of the Sea
azimut-70,Azimut 70′ Yacht Charter – Miami,"Private yacht charter aboard the Azimut 70′ in Miami. Up to 13 guests, docked at Regal Marina. Features: Premium Sound. Starting price $1,600. Contact us on the website to book your date.",in stock,new,1600.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/azimut-70%E2%80%B2/1.jpg,Heart of the Sea
searay-50,SeaRay 50′ Yacht Charter – Miami,"Private yacht charter aboard the SeaRay 50′ in Miami. Up to 13 guests, docked at Jones Boat Yard. Features: Premium Sound. Starting price $1,400. Contact us on the website to book your date.",in stock,new,1400.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/searay-50%E2%80%B2/1.jpg,Heart of the Sea
harmony-44,Harmony 44′ Yacht Charter – Miami,"Private yacht charter aboard the Harmony 44′ in Miami. Up to 13 guests, docked at Jones Boat Yard. Features: Premium Sound. Starting price $1,300. Contact us on the website to book your date.",in stock,new,1300.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/harmony-44%E2%80%B2/1.jpg,Heart of the Sea
lady-g-41,Lady G 41′ Yacht Charter – Miami,"Private yacht charter aboard the Lady G 41′ in Miami. Up to 13 guests, docked at Jones Boat Yard. Features: Premium Sound. Starting price $1,300. Contact us on the website to book your date.",in stock,new,1300.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/ladyg-41%E2%80%B2/1.jpg,Heart of the Sea
barbie-pink-42,Barbie Pink 42′ Yacht Charter – Miami,"Private yacht charter aboard the Barbie Pink 42′ in Miami. Up to 13 guests, docked at Miami River. Features: Unique Style, Premium Sound. Starting price $1,000. Contact us on the website to book your date.",in stock,new,1000.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/yate1.jpg,Heart of the Sea
vandutch-40,Vandutch 40′ Yacht Charter – Miami,"Private yacht charter aboard the Vandutch 40′ in Miami. Up to 13 guests, docked at Venetian Marina. Features: Premium Sound. Starting price $1,950. Contact us on the website to book your date.",in stock,new,1950.00 USD,https://mel93peralta-hub.github.io/heart-of-the-sea/,https://mel93peralta-hub.github.io/heart-of-the-sea/images/vandutch-40%E2%80%B2/1.jpg,Heart of the Sea
